"Order.ID","Order.Date","Ship.Date","Ship.Mode","Customer.ID","City","State","Postal.Code","Region","Product.ID","Product.Name","Segment","Category","Sub.Category","Revenue","Quantity","Discount","Profit"
"CA-2012-115812","6/9/2012","6/14/2012","Standard Class","BH-11710","Los Angeles","California",90032,"West","FUR-TA-10001539","Chromcraft Rectangular Conference Tables","Consumer","Furniture","Tables",1706.184,9,0.2,85.31
"CA-2012-115812","6/9/2012","6/14/2012","Standard Class","BH-11710","Los Angeles","California",90032,"West","TEC-PH-10002033","Konftel 250 Conference phone - Charcoal black","Consumer","Technology","Phones",911.424,4,0.2,68.36
"CA-2015-114412","4/16/2015","4/21/2015","Standard Class","AA-10480","Concord","North Carolina",28027,"South","OFF-PA-10002365","Xerox 1967","Consumer","Office Supplies","Paper",15.552,3,0.2,5.44
"CA-2014-161389","12/6/2014","12/11/2014","Standard Class","IM-15070","Seattle","Washington",98103,"West","OFF-BI-10003656","Fellowes PB200 Plastic Comb Binding Machine","Consumer","Office Supplies","Binders",407.976,3,0.2,132.59
"US-2013-118983","11/22/2013","11/26/2013","Standard Class","HP-14815","Fort Worth","Texas",76106,"Central","OFF-AP-10002311","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Home Office","Office Supplies","Appliances",68.81,5,0.8,-123.86
"US-2013-118983","11/22/2013","11/26/2013","Standard Class","HP-14815","Fort Worth","Texas",76106,"Central","OFF-BI-10000756","Storex DuraTech Recycled Plastic Frosted Binders","Home Office","Office Supplies","Binders",2.544,3,0.8,-3.82
"CA-2012-105893","11/11/2012","11/18/2012","Standard Class","PK-19075","Madison","Wisconsin",53711,"Central","OFF-ST-10004186","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","Consumer","Office Supplies","Storage",665.88,6,0,13.32
"CA-2012-167164","5/13/2012","5/15/2012","Second Class","AG-10270","West Jordan","Utah",84084,"West","OFF-ST-10000107","Fellowes Super Stor/Drawer","Consumer","Office Supplies","Storage",55.5,2,0,9.99
"CA-2012-143336","8/27/2012","9/1/2012","Second Class","ZD-21925","San Francisco","California",94109,"West","OFF-AR-10003056","Newell 341","Consumer","Office Supplies","Art",8.56,2,0,2.48
"CA-2012-143336","8/27/2012","9/1/2012","Second Class","ZD-21925","San Francisco","California",94109,"West","TEC-PH-10001949","Cisco SPA 501G IP Phone","Consumer","Technology","Phones",213.48,3,0.2,16.01
"CA-2012-143336","8/27/2012","9/1/2012","Second Class","ZD-21925","San Francisco","California",94109,"West","OFF-BI-10002215","Wilson Jones Hanging View Binder, White, 1""","Consumer","Office Supplies","Binders",22.72,4,0.2,7.38
"CA-2014-137330","12/10/2014","12/14/2014","Standard Class","KB-16585","Fremont","Nebraska",68025,"Central","OFF-AR-10000246","Newell 318","Corporate","Office Supplies","Art",19.46,7,0,5.06
"CA-2014-137330","12/10/2014","12/14/2014","Standard Class","KB-16585","Fremont","Nebraska",68025,"Central","OFF-AP-10001492","Acco Six-Outlet Power Strip, 4' Cord Length","Corporate","Office Supplies","Appliances",60.34,7,0,15.69
"US-2015-156909","7/17/2015","7/19/2015","Second Class","SF-20065","Philadelphia","Pennsylvania",19140,"East","FUR-CH-10002774","Global Deluxe Stacking Chair, Gray","Consumer","Furniture","Chairs",71.372,2,0.3,-1.02
"CA-2013-106320","9/25/2013","9/30/2013","Standard Class","EB-13870","Orem","Utah",84057,"West","FUR-TA-10000577","Bretford CR4500 Series Slim Rectangular Table","Consumer","Furniture","Tables",1044.63,3,0,240.26
"CA-2014-121755","1/16/2014","1/20/2014","Second Class","EH-13945","Los Angeles","California",90049,"West","OFF-BI-10001634","Wilson Jones Active Use Binders","Consumer","Office Supplies","Binders",11.648,2,0.2,4.22
"CA-2014-121755","1/16/2014","1/20/2014","Second Class","EH-13945","Los Angeles","California",90049,"West","TEC-AC-10003027","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive","Consumer","Technology","Accessories",90.57,3,0,11.77
"US-2013-150630","9/17/2013","9/21/2013","Standard Class","TB-21520","Philadelphia","Pennsylvania",19140,"East","FUR-BO-10004834","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","Consumer","Furniture","Bookcases",3083.43,7,0.5,-1665.05
"US-2013-150630","9/17/2013","9/21/2013","Standard Class","TB-21520","Philadelphia","Pennsylvania",19140,"East","OFF-BI-10000474","Avery Recycled Flexi-View Covers for Binding Systems","Consumer","Office Supplies","Binders",9.618,2,0.7,-7.05
"US-2013-150630","9/17/2013","9/21/2013","Standard Class","TB-21520","Philadelphia","Pennsylvania",19140,"East","FUR-FU-10004848","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","Consumer","Furniture","Furnishings",124.2,3,0.2,15.53
"US-2013-150630","9/17/2013","9/21/2013","Standard Class","TB-21520","Philadelphia","Pennsylvania",19140,"East","OFF-EN-10001509","Poly String Tie Envelopes","Consumer","Office Supplies","Envelopes",3.264,2,0.2,1.1
"US-2013-150630","9/17/2013","9/21/2013","Standard Class","TB-21520","Philadelphia","Pennsylvania",19140,"East","OFF-AR-10004042","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","Consumer","Office Supplies","Art",86.304,6,0.2,9.71
"US-2013-150630","9/17/2013","9/21/2013","Standard Class","TB-21520","Philadelphia","Pennsylvania",19140,"East","OFF-BI-10001525","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","Consumer","Office Supplies","Binders",6.858,6,0.7,-5.72
"US-2013-150630","9/17/2013","9/21/2013","Standard Class","TB-21520","Philadelphia","Pennsylvania",19140,"East","OFF-AR-10001683","Lumber Crayons","Consumer","Office Supplies","Art",15.76,2,0.2,3.55
"CA-2015-107727","10/20/2015","10/24/2015","Second Class","MA-17560","Houston","Texas",77095,"Central","OFF-PA-10000249","Easy-staple paper","Home Office","Office Supplies","Paper",29.472,3,0.2,9.95
"CA-2014-117590","12/9/2014","12/11/2014","First Class","GH-14485","Richardson","Texas",75080,"Central","TEC-PH-10004977","GE 30524EE4","Corporate","Technology","Phones",1097.544,7,0.2,123.47
"CA-2014-117590","12/9/2014","12/11/2014","First Class","GH-14485","Richardson","Texas",75080,"Central","FUR-FU-10003664","Electrix Architect's Clamp-On Swing Arm Lamp, Black","Corporate","Furniture","Furnishings",190.92,5,0.6,-147.96
"CA-2013-117415","12/27/2013","12/31/2013","Standard Class","SN-20710","Houston","Texas",77041,"Central","OFF-EN-10002986","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","Home Office","Office Supplies","Envelopes",113.328,9,0.2,35.42
"CA-2013-117415","12/27/2013","12/31/2013","Standard Class","SN-20710","Houston","Texas",77041,"Central","FUR-BO-10002545","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","Home Office","Furniture","Bookcases",532.3992,3,0.32,-46.98
"CA-2013-117415","12/27/2013","12/31/2013","Standard Class","SN-20710","Houston","Texas",77041,"Central","FUR-CH-10004218","Global Fabric Manager's Chair, Dark Gray","Home Office","Furniture","Chairs",212.058,3,0.3,-15.15
"CA-2013-117415","12/27/2013","12/31/2013","Standard Class","SN-20710","Houston","Texas",77041,"Central","TEC-PH-10000486","Plantronics HL10 Handset Lifter","Home Office","Technology","Phones",371.168,4,0.2,41.76
"CA-2015-120999","9/11/2015","9/16/2015","Standard Class","LC-16930","Naperville","Illinois",60540,"Central","TEC-PH-10004093","Panasonic Kx-TS550","Corporate","Technology","Phones",147.168,4,0.2,16.56
"CA-2014-101343","7/18/2014","7/23/2014","Standard Class","RA-19885","Los Angeles","California",90049,"West","OFF-ST-10003479","Eldon Base for stackable storage shelf, platinum","Corporate","Office Supplies","Storage",77.88,2,0,3.89
"CA-2015-139619","9/20/2015","9/24/2015","Standard Class","ES-14080","Melbourne","Florida",32935,"South","OFF-ST-10003282","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","Corporate","Office Supplies","Storage",95.616,2,0.2,9.56
"CA-2014-118255","3/12/2014","3/14/2014","First Class","ON-18715","Eagan","Minnesota",55122,"Central","TEC-AC-10000171","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","Corporate","Technology","Accessories",45.98,2,0,19.77
"CA-2014-118255","3/12/2014","3/14/2014","First Class","ON-18715","Eagan","Minnesota",55122,"Central","OFF-BI-10003291","Wilson Jones Leather-Like Binders with DublLock Round Rings","Corporate","Office Supplies","Binders",17.46,2,0,8.21
"CA-2012-146703","10/20/2012","10/25/2012","Second Class","PO-18865","Westland","Michigan",48185,"Central","OFF-ST-10001713","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","Consumer","Office Supplies","Storage",211.96,4,0,8.48
"CA-2014-169194","6/21/2014","6/26/2014","Standard Class","LH-16900","Dover","Delaware",19901,"East","TEC-AC-10002167","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","Consumer","Technology","Accessories",45,3,0,4.95
"CA-2014-169194","6/21/2014","6/26/2014","Standard Class","LH-16900","Dover","Delaware",19901,"East","TEC-PH-10003988","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","Consumer","Technology","Phones",21.8,2,0,6.1
"CA-2013-115742","4/18/2013","4/22/2013","Standard Class","DP-13000","New Albany","Indiana",47150,"Central","OFF-BI-10004410","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","Consumer","Office Supplies","Binders",38.22,6,0,17.96
"CA-2013-115742","4/18/2013","4/22/2013","Standard Class","DP-13000","New Albany","Indiana",47150,"Central","OFF-LA-10002762","Avery 485","Consumer","Office Supplies","Labels",75.18,6,0,35.33
"CA-2013-115742","4/18/2013","4/22/2013","Standard Class","DP-13000","New Albany","Indiana",47150,"Central","FUR-FU-10001706","Longer-Life Soft White Bulbs","Consumer","Furniture","Furnishings",6.16,2,0,2.96
"CA-2013-115742","4/18/2013","4/22/2013","Standard Class","DP-13000","New Albany","Indiana",47150,"Central","FUR-CH-10003061","Global Leather Task Chair, Black","Consumer","Furniture","Chairs",89.99,1,0,17.1
"CA-2014-105816","12/12/2014","12/18/2014","Standard Class","JM-15265","New York City","New York",10024,"East","OFF-FA-10000304","Advantus Push Pins","Corporate","Office Supplies","Fasteners",15.26,7,0,6.26
"CA-2014-105816","12/12/2014","12/18/2014","Standard Class","JM-15265","New York City","New York",10024,"East","TEC-PH-10002447","AT&T CL83451 4-Handset Telephone","Corporate","Technology","Phones",1029.95,5,0,298.69
"CA-2014-111682","6/18/2014","6/19/2014","First Class","TB-21055","Troy","New York",12180,"East","OFF-ST-10000604","Home/Office Personal File Carts","Consumer","Office Supplies","Storage",208.56,6,0,52.14
"CA-2014-111682","6/18/2014","6/19/2014","First Class","TB-21055","Troy","New York",12180,"East","OFF-PA-10001569","Xerox 232","Consumer","Office Supplies","Paper",32.4,5,0,15.55
"CA-2014-111682","6/18/2014","6/19/2014","First Class","TB-21055","Troy","New York",12180,"East","FUR-CH-10003968","Novimex Turbo Task Chair","Consumer","Furniture","Chairs",319.41,5,0.1,7.1
"CA-2014-111682","6/18/2014","6/19/2014","First Class","TB-21055","Troy","New York",12180,"East","OFF-PA-10000587","Array Parchment Paper, Assorted Colors","Consumer","Office Supplies","Paper",14.56,2,0,6.99
"CA-2014-111682","6/18/2014","6/19/2014","First Class","TB-21055","Troy","New York",12180,"East","TEC-AC-10002167","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","Consumer","Technology","Accessories",30,2,0,3.3
"CA-2014-111682","6/18/2014","6/19/2014","First Class","TB-21055","Troy","New York",12180,"East","OFF-BI-10001460","Plastic Binding Combs","Consumer","Office Supplies","Binders",48.48,4,0.2,16.36
"CA-2014-111682","6/18/2014","6/19/2014","First Class","TB-21055","Troy","New York",12180,"East","OFF-AR-10001868","Prang Dustless Chalk Sticks","Consumer","Office Supplies","Art",1.68,1,0,0.84
"CA-2013-135545","11/24/2013","11/30/2013","Standard Class","KM-16720","Los Angeles","California",90004,"West","TEC-AC-10004633","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","Consumer","Technology","Accessories",13.98,2,0,6.15
"CA-2013-135545","11/24/2013","11/30/2013","Standard Class","KM-16720","Los Angeles","California",90004,"West","OFF-BI-10001078","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","Consumer","Office Supplies","Binders",25.824,6,0.2,9.36
"CA-2013-135545","11/24/2013","11/30/2013","Standard Class","KM-16720","Los Angeles","California",90004,"West","OFF-PA-10003892","Xerox 1943","Consumer","Office Supplies","Paper",146.73,3,0,68.96
"CA-2013-135545","11/24/2013","11/30/2013","Standard Class","KM-16720","Los Angeles","California",90004,"West","FUR-FU-10000397","Luxo Economy Swing Arm Lamp","Consumer","Furniture","Furnishings",79.76,4,0,22.33
"US-2013-164175","4/30/2013","5/5/2013","Standard Class","PS-18970","Chicago","Illinois",60610,"Central","FUR-CH-10001146","Global Value Mid-Back Manager's Chair, Gray","Home Office","Furniture","Chairs",213.115,5,0.3,-15.22
"CA-2012-106376","12/5/2012","12/10/2012","Standard Class","BS-11590","Gilbert","Arizona",85234,"West","OFF-AR-10002671","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","Corporate","Office Supplies","Art",1113.024,8,0.2,111.3
"CA-2012-106376","12/5/2012","12/10/2012","Standard Class","BS-11590","Gilbert","Arizona",85234,"West","TEC-PH-10002726","netTALK DUO VoIP Telephone Service","Corporate","Technology","Phones",167.968,4,0.2,62.99
"CA-2014-119823","6/5/2014","6/7/2014","First Class","KD-16270","Springfield","Virginia",22153,"South","OFF-PA-10000482","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","Consumer","Office Supplies","Paper",75.88,2,0,35.66
"CA-2014-106075","9/19/2014","9/24/2014","Standard Class","HM-14980","New York City","New York",10009,"East","OFF-BI-10004654","Avery Binding System Hidden Tab Executive Style Index Sets","Consumer","Office Supplies","Binders",4.616,1,0.2,1.73
"CA-2015-114440","9/15/2015","9/18/2015","Second Class","TB-21520","Jackson","Michigan",49201,"Central","OFF-PA-10004675","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","Consumer","Office Supplies","Paper",19.05,3,0,8.76
"US-2013-134026","4/26/2013","5/2/2013","Standard Class","JE-15745","Memphis","Tennessee",38109,"South","FUR-CH-10000513","High-Back Leather Manager's Chair","Consumer","Furniture","Chairs",831.936,8,0.2,-114.39
"US-2013-134026","4/26/2013","5/2/2013","Standard Class","JE-15745","Memphis","Tennessee",38109,"South","FUR-FU-10003708","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","Consumer","Furniture","Furnishings",97.04,2,0.2,1.21
"US-2013-134026","4/26/2013","5/2/2013","Standard Class","JE-15745","Memphis","Tennessee",38109,"South","OFF-ST-10004123","Safco Industrial Wire Shelving System","Consumer","Office Supplies","Storage",72.784,1,0.2,-18.2
"US-2015-118038","12/10/2015","12/12/2015","First Class","KB-16600","Houston","Texas",77041,"Central","OFF-BI-10004182","Economy Binders","Corporate","Office Supplies","Binders",1.248,3,0.8,-1.93
"US-2015-118038","12/10/2015","12/12/2015","First Class","KB-16600","Houston","Texas",77041,"Central","FUR-FU-10000260","6"" Cubicle Wall Clock, Black","Corporate","Furniture","Furnishings",9.708,3,0.6,-5.82
"US-2015-118038","12/10/2015","12/12/2015","First Class","KB-16600","Houston","Texas",77041,"Central","OFF-ST-10000615","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","Corporate","Office Supplies","Storage",27.24,3,0.2,2.72
"US-2012-147606","11/26/2012","12/1/2012","Second Class","JE-15745","Houston","Texas",77070,"Central","FUR-FU-10003194","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","Consumer","Furniture","Furnishings",19.3,5,0.6,-14.48
"CA-2014-127208","6/13/2014","6/16/2014","First Class","SC-20770","Decatur","Alabama",35601,"South","OFF-AP-10002118","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Corporate","Office Supplies","Appliances",208.16,1,0,56.2
"CA-2014-127208","6/13/2014","6/16/2014","First Class","SC-20770","Decatur","Alabama",35601,"South","OFF-BI-10002309","Avery Heavy-Duty EZD  Binder With Locking Rings","Corporate","Office Supplies","Binders",16.74,3,0,8.04
"CA-2012-139451","10/12/2012","10/16/2012","Standard Class","DN-13690","San Francisco","California",94122,"West","OFF-AR-10002053","Premium Writing Pencils, Soft, #2 by Central Association for the Blind","Consumer","Office Supplies","Art",14.9,5,0,4.17
"CA-2012-139451","10/12/2012","10/16/2012","Standard Class","DN-13690","San Francisco","California",94122,"West","OFF-ST-10002370","Sortfiler Multipurpose Personal File Organizer, Black","Consumer","Office Supplies","Storage",21.39,1,0,6.2
"CA-2013-149734","9/3/2013","9/8/2013","Standard Class","JC-16105","Durham","North Carolina",27707,"South","OFF-EN-10000927","Jet-Pak Recycled Peel 'N' Seal Padded Mailers","Corporate","Office Supplies","Envelopes",200.984,7,0.2,62.81
"US-2015-119662","11/14/2015","11/17/2015","First Class","CS-12400","Chicago","Illinois",60623,"Central","OFF-ST-10003656","Safco Industrial Wire Shelving","Home Office","Office Supplies","Storage",230.376,3,0.2,-48.95
"CA-2015-140088","5/29/2015","5/31/2015","Second Class","PO-18865","Columbia","South Carolina",29203,"South","FUR-CH-10000863","Novimex Swivel Fabric Task Chair","Consumer","Furniture","Chairs",301.96,2,0,33.22
"CA-2015-155558","10/27/2015","11/3/2015","Standard Class","PG-18895","Rochester","Minnesota",55901,"Central","TEC-AC-10001998","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired","Consumer","Technology","Accessories",19.99,1,0,6.8
"CA-2015-155558","10/27/2015","11/3/2015","Standard Class","PG-18895","Rochester","Minnesota",55901,"Central","OFF-LA-10000134","Avery 511","Consumer","Office Supplies","Labels",6.16,2,0,2.96
"CA-2014-159695","4/6/2014","4/11/2014","Second Class","GM-14455","Houston","Texas",77095,"Central","OFF-ST-10003442","Eldon Portable Mobile Manager","Home Office","Office Supplies","Storage",158.368,7,0.2,13.86
"CA-2014-109806","9/18/2014","9/23/2014","Standard Class","JS-15685","Los Angeles","California",90036,"West","OFF-AR-10004930","Turquoise Lead Holder with Pocket Clip","Corporate","Office Supplies","Art",20.1,3,0,6.63
"CA-2014-109806","9/18/2014","9/23/2014","Standard Class","JS-15685","Los Angeles","California",90036,"West","TEC-PH-10004093","Panasonic Kx-TS550","Corporate","Technology","Phones",73.584,2,0.2,8.28
"CA-2014-109806","9/18/2014","9/23/2014","Standard Class","JS-15685","Los Angeles","California",90036,"West","OFF-PA-10000304","Xerox 1995","Corporate","Office Supplies","Paper",6.48,1,0,3.11
"CA-2013-149587","1/31/2013","2/5/2013","Second Class","KB-16315","Minneapolis","Minnesota",55407,"Central","OFF-PA-10003177","Xerox 1999","Consumer","Office Supplies","Paper",12.96,2,0,6.22
"CA-2013-149587","1/31/2013","2/5/2013","Second Class","KB-16315","Minneapolis","Minnesota",55407,"Central","FUR-FU-10003799","Seth Thomas 13 1/2"" Wall Clock","Consumer","Furniture","Furnishings",53.34,3,0,16.54
"CA-2013-149587","1/31/2013","2/5/2013","Second Class","KB-16315","Minneapolis","Minnesota",55407,"Central","OFF-BI-10002852","Ibico Standard Transparent Covers","Consumer","Office Supplies","Binders",32.96,2,0,16.15
"US-2015-109484","11/7/2015","11/13/2015","Standard Class","RB-19705","Portland","Oregon",97206,"West","OFF-BI-10004738","Flexible Leather- Look Classic Collection Ring Binder","Home Office","Office Supplies","Binders",5.682,1,0.7,-3.79
"CA-2015-161018","11/10/2015","11/12/2015","Second Class","PN-18775","New York City","New York",10009,"East","FUR-FU-10000629","9-3/4 Diameter Round Wall Clock","Home Office","Furniture","Furnishings",96.53,7,0,40.54
"CA-2015-157833","6/18/2015","6/21/2015","First Class","KD-16345","San Francisco","California",94122,"West","OFF-BI-10001721","Trimflex Flexible Post Binders","Consumer","Office Supplies","Binders",51.312,3,0.2,17.96
"CA-2014-149223","9/7/2014","9/12/2014","Standard Class","ER-13855","Saint Paul","Minnesota",55106,"Central","OFF-AP-10000358","Fellowes Basic Home/Office Series Surge Protectors","Corporate","Office Supplies","Appliances",77.88,6,0,22.59
"CA-2014-158568","8/30/2014","9/3/2014","Standard Class","RB-19465","Chicago","Illinois",60610,"Central","OFF-PA-10003256","Avery Personal Creations Heavyweight Cards","Home Office","Office Supplies","Paper",64.624,7,0.2,22.62
"CA-2014-158568","8/30/2014","9/3/2014","Standard Class","RB-19465","Chicago","Illinois",60610,"Central","TEC-AC-10001767","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card","Home Office","Technology","Accessories",95.976,3,0.2,-10.8
"CA-2014-158568","8/30/2014","9/3/2014","Standard Class","RB-19465","Chicago","Illinois",60610,"Central","OFF-BI-10002609","Avery Hidden Tab Dividers for Binding Systems","Home Office","Office Supplies","Binders",1.788,3,0.8,-3.04
"CA-2014-129903","12/2/2014","12/5/2014","Second Class","GZ-14470","Rochester","Minnesota",55901,"Central","OFF-PA-10004040","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)","Consumer","Office Supplies","Paper",23.92,4,0,11.72
"US-2013-156867","11/13/2013","11/17/2013","Standard Class","LC-16870","Aurora","Colorado",80013,"West","TEC-AC-10001552","Logitech K350 2.4Ghz Wireless Keyboard","Consumer","Technology","Accessories",238.896,6,0.2,-26.88
"US-2013-156867","11/13/2013","11/17/2013","Standard Class","LC-16870","Aurora","Colorado",80013,"West","FUR-FU-10004006","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting","Consumer","Furniture","Furnishings",102.36,3,0.2,-3.84
"US-2013-156867","11/13/2013","11/17/2013","Standard Class","LC-16870","Aurora","Colorado",80013,"West","OFF-BI-10002794","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","Consumer","Office Supplies","Binders",36.882,3,0.7,-25.82
"CA-2015-119004","11/24/2015","11/29/2015","Standard Class","JM-15250","Charlotte","North Carolina",28205,"South","TEC-AC-10003499","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive","Consumer","Technology","Accessories",74.112,8,0.2,17.6
"CA-2015-119004","11/24/2015","11/29/2015","Standard Class","JM-15250","Charlotte","North Carolina",28205,"South","TEC-PH-10002844","Speck Products Candyshell Flip Case","Consumer","Technology","Phones",27.992,1,0.2,2.1
"CA-2015-119004","11/24/2015","11/29/2015","Standard Class","JM-15250","Charlotte","North Carolina",28205,"South","OFF-AR-10000390","Newell Chalk Holder","Consumer","Office Supplies","Art",3.304,1,0.2,1.07
"CA-2013-129476","10/15/2013","10/20/2013","Standard Class","PA-19060","Orland Park","Illinois",60462,"Central","TEC-AC-10000844","Logitech Gaming G510s - Keyboard","Home Office","Technology","Accessories",339.96,5,0.2,67.99
"CA-2015-146780","12/26/2015","12/31/2015","Standard Class","CV-12805","New York City","New York",10035,"East","FUR-FU-10001934","Magnifier Swing Arm Lamp","Corporate","Furniture","Furnishings",41.96,2,0,10.91
"CA-2014-128867","11/4/2014","11/11/2014","Standard Class","CL-12565","Urbandale","Iowa",50322,"Central","OFF-AR-10000380","Hunt PowerHouse Electric Pencil Sharpener, Blue","Consumer","Office Supplies","Art",75.96,2,0,22.79
"CA-2014-128867","11/4/2014","11/11/2014","Standard Class","CL-12565","Urbandale","Iowa",50322,"Central","OFF-BI-10003981","Avery Durable Plastic 1"" Binders","Consumer","Office Supplies","Binders",27.24,6,0,13.35
"CA-2012-115259","8/25/2012","8/27/2012","Second Class","RC-19960","Columbus","Ohio",43229,"East","OFF-FA-10000621","OIC Colored Binder Clips, Assorted Sizes","Consumer","Office Supplies","Fasteners",40.096,14,0.2,14.53
"CA-2012-115259","8/25/2012","8/27/2012","Second Class","RC-19960","Columbus","Ohio",43229,"East","OFF-EN-10002600","Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2","Consumer","Office Supplies","Envelopes",4.72,2,0.2,1.65
"CA-2012-115259","8/25/2012","8/27/2012","Second Class","RC-19960","Columbus","Ohio",43229,"East","OFF-PA-10004965","Xerox 1921","Consumer","Office Supplies","Paper",23.976,3,0.2,7.49
"CA-2012-115259","8/25/2012","8/27/2012","Second Class","RC-19960","Columbus","Ohio",43229,"East","OFF-EN-10002504","Tyvek  Top-Opening Peel & Seel Envelopes, Plain White","Consumer","Office Supplies","Envelopes",130.464,6,0.2,44.03
"CA-2013-110457","3/2/2013","3/6/2013","Standard Class","DK-13090","Seattle","Washington",98103,"West","FUR-TA-10001768","Hon Racetrack Conference Tables","Consumer","Furniture","Tables",787.53,3,0,165.38
"US-2013-136476","4/5/2013","4/10/2013","Standard Class","GG-14650","Bristol","Tennessee",37620,"South","OFF-BI-10003650","GBC DocuBind 300 Electric Binding Machine","Corporate","Office Supplies","Binders",157.794,1,0.7,-115.72
"CA-2014-103730","6/13/2014","6/16/2014","First Class","SC-20725","Wilmington","Delaware",19805,"East","FUR-FU-10002157","Artistic Insta-Plaque","Consumer","Furniture","Furnishings",47.04,3,0,18.35
"CA-2014-103730","6/13/2014","6/16/2014","First Class","SC-20725","Wilmington","Delaware",19805,"East","OFF-BI-10003910","DXL Angle-View Binders with Locking Rings by Samsill","Consumer","Office Supplies","Binders",30.84,4,0,13.88
